Algorithm,MPI_Processes,Data_Size,Allocation,Latency
1,100,5000,node,0.000408769000000
1,101,5000,core,0.000620937000000
1,101,5000,node,0.000441119000000
1,102,5000,core,0.000635263000000
1,102,5000,node,0.000369483000000
1,103,5000,core,0.000815711000000
1,103,5000,node,0.000447661000000
1,104,5000,core,0.000655732000000
1,104,5000,node,0.000393509000000
1,105,5000,core,0.000895130000000
1,105,5000,node,0.000415130000000
1,106,5000,core,0.001095368000000
1,106,5000,node,0.000465023000000
1,107,5000,core,0.000610156000000
1,107,5000,node,0.000373712000000
1,108,5000,core,0.000915598999999
1,108,5000,node,0.000473681000001
1,109,5000,core,0.000629702000000
1,109,5000,node,0.000375406000000
1,110,5000,core,0.000635173000001
1,110,5000,node,0.000508265000000
1,111,5000,core,0.001002022000000
1,111,5000,node,0.000419107000000
1,112,5000,core,0.000744288000000
1,112,5000,node,0.000411914000000
1,113,5000,core,0.000714170999998
1,113,5000,node,0.000363664000000
1,114,5000,core,0.000661973000001
1,114,5000,node,0.000453447000000
1,115,5000,core,0.000944393999999
1,115,5000,node,0.000397479000000
1,116,5000,core,0.000755889000001
1,116,5000,node,0.000488278000000
1,117,5000,core,0.001037288000000
1,117,5000,node,0.000546187000000
1,118,5000,core,0.000695596000000
1,118,5000,node,0.000441260000000
1,119,5000,core,0.000932851000000
1,119,5000,node,0.000443252000000
1,120,5000,core,0.001061325000000
1,120,5000,node,0.000519166000000
1,121,5000,core,0.000718890000000
1,121,5000,node,0.000389782000000
1,122,5000,core,0.000911662000000
1,122,5000,node,0.000583905000000
1,123,5000,core,0.001287467999999
1,123,5000,node,0.000399901000000
1,124,5000,core,0.000742986000001
1,124,5000,node,0.000405882000000
1,125,5000,core,0.000747895000000
1,125,5000,node,0.000925198000000
1,126,5000,core,0.000789354000000
1,126,5000,node,0.000658739000000
1,127,5000,core,0.001053087999999
1,127,5000,node,0.000415350000000
1,128,5000,core,0.000866377000001
1,128,5000,node,0.000584138000001
1,129,5000,core,0.001457719000001
1,129,5000,node,0.000417945000000
1,130,5000,core,0.001433583000000
