Algorithm,MPI_Processes,Data_Size,Allocation,Latency,Latency_default
2,2,2000,core,0.000000771000000,0.000000812000000
2,2,2000,node,0.000007143000000,0.000006663000000
2,3,2000,core,0.000001813000000,0.000001543000000
2,3,2000,node,0.000012323000000,0.000007694000000
2,4,2000,core,0.000002044000000,0.000001603000000
2,4,2000,node,0.000016632000000,0.000009368000000
2,5,2000,core,0.000004568000000,0.000003868000000
2,5,2000,node,0.000022713000000,0.000010119000000
2,6,2000,core,0.000005741000000,0.000005401000000
2,6,2000,node,0.000027612000000,0.000010480000000
2,7,2000,core,0.000006683000000,0.000005761000000
2,7,2000,node,0.000032801000000,0.000011702000000
2,8,2000,core,0.000007144000000,0.000006372000000
2,8,2000,node,0.000038613000000,0.000012283000000
2,9,2000,core,0.000010600000000,0.000010751000000
2,9,2000,node,0.000044203000000,0.000014608000000
2,10,2000,core,0.000012173000000,0.000009308000000
2,10,2000,node,0.000050806000000,0.000018114000000
2,11,2000,core,0.000013064000000,0.000010079000000
2,11,2000,node,0.000054372000000,0.000018414000000
2,12,2000,core,0.000013094000000,0.000010489000000
2,12,2000,node,0.000060233000000,0.000021040000000
2,13,2000,core,0.000016861000000,0.000012573000000
2,13,2000,node,0.000062999000000,0.000021280000000
2,14,2000,core,0.000017854000000,0.000012934000000
2,14,2000,node,0.000069090000000,0.000021380000000
2,15,2000,core,0.000016932000000,0.000011621000000
2,15,2000,node,0.000072396000000,0.000022843000000
2,16,2000,core,0.000016261000000,0.000011331000000
2,16,2000,node,0.000075602000000,0.000022553000000
2,17,2000,core,0.000019346000000,0.000014397000000
2,17,2000,node,0.000079650000000,0.000024346000000
2,18,2000,core,0.000020388000000,0.000014988000000
2,18,2000,node,0.000086242000000,0.000028554000000
2,19,2000,core,0.000021139000000,0.000014998000000
2,19,2000,node,0.000090069000000,0.000027191000000
2,20,2000,core,0.000022171000000,0.000013325000000
2,20,2000,node,0.000097202000000,0.000029204000000
2,21,2000,core,0.000024576000000,0.000014827000000
2,21,2000,node,0.000101330000000,0.000029074000000
2,22,2000,core,0.000025648000000,0.000015719000000
2,22,2000,node,0.000108023000000,0.000031379000000
2,23,2000,core,0.000027992000000,0.000015750000000
2,23,2000,node,0.000111940000000,0.000031710000000
2,24,2000,core,0.000027732000000,0.000016231000000
2,24,2000,node,0.000118513000000,0.000032792000000
2,25,2000,core,0.000031289000000,0.000018475000000
2,25,2000,node,0.000121859000000,0.000033212000000
2,26,2000,core,0.000032931000000,0.000016360000000
2,26,2000,node,0.000127330000000,0.000037560000000
2,27,2000,core,0.000033403000000,0.000016691000000
2,27,2000,node,0.000130335000000,0.000036208000000
2,28,2000,core,0.000034996000000,0.000017272000000
2,28,2000,node,0.000136105000000,0.000039334000000
2,29,2000,core,0.000037911000000,0.000019076000000
2,29,2000,node,0.000139032000000,0.000039224000000
2,30,2000,core,0.000038562000000,0.000018905000000
2,30,2000,node,0.000145083000000,0.000040196000000
2,31,2000,core,0.000039915000000,0.000017272000000
2,31,2000,node,0.000148058000000,0.000040506000000
2,32,2000,core,0.000037290000000,0.000016762000000
2,32,2000,node,0.000154811000000,0.000041347000000
2,33,2000,core,0.000041648000000,0.000020167000000
2,33,2000,node,0.000158789000000,0.000043071000000
2,34,2000,core,0.000042791000000,0.000020549000000
2,34,2000,node,0.000164840000000,0.000046959000000
2,35,2000,core,0.000042920000000,0.000020458000000
2,35,2000,node,0.000169759000000,0.000045506000000
2,36,2000,core,0.000044734000000,0.000019297000000
2,36,2000,node,0.000176832000000,0.000049012000000
2,37,2000,core,0.000047550000000,0.000021521000000
2,37,2000,node,0.000180980000000,0.000048762000000
2,38,2000,core,0.000048642000000,0.000021861000000
2,38,2000,node,0.000187693000000,0.000049503000000
2,39,2000,core,0.000049544000000,0.000022122000000
2,39,2000,node,0.000192521000000,0.000050114000000
2,40,2000,core,0.000050545000000,0.000022292000000
2,40,2000,node,0.000199795000000,0.000051807000000
2,41,2000,core,0.000053350000000,0.000024646000000
2,41,2000,node,0.000203552000000,0.000052729000000
2,42,2000,core,0.000054472000000,0.000022081000000
2,42,2000,node,0.000209654000000,0.000054543000000
2,43,2000,core,0.000055224000000,0.000022652000000
2,43,2000,node,0.000213100000000,0.000055063000000
2,44,2000,core,0.000055665000000,0.000023103000000
2,44,2000,node,0.000219322000000,0.000057068000000
2,45,2000,core,0.000060083000000,0.000025708000000
2,45,2000,node,0.000222087000000,0.000056857000000
2,46,2000,core,0.000061115000000,0.000025568000000
2,46,2000,node,0.000228499000000,0.000058660000000
2,47,2000,core,0.000060644000000,0.000023765000000
2,47,2000,node,0.000231996000000,0.000060745000000
2,48,2000,core,0.000061906000000,0.000024185000000
2,48,2000,node,0.000237787000000,0.000062057000000
2,49,2000,core,0.000065203000000,0.000026680000000
2,49,2000,node,0.000240372000000,0.000062839000000
2,50,2000,core,0.000066354000000,0.000027081000000
2,50,2000,node,0.000247856000000,0.000065022000000
2,51,2000,core,0.000067818000000,0.000026700000000
2,51,2000,node,0.000251552000000,0.000064171000000
2,52,2000,core,0.000069130000000,0.000025719000000
2,52,2000,node,0.000258285000000,0.000067427000000
2,53,2000,core,0.000071594000000,0.000028314000000
2,53,2000,node,0.000263074000000,0.000067317000000
2,54,2000,core,0.000073578000000,0.000028263000000
2,54,2000,node,0.000269266000000,0.000068148000000
2,55,2000,core,0.000072937000000,0.000028293000000
2,55,2000,node,0.000274145000000,0.000069851000000
2,56,2000,core,0.000074280000000,0.000028453000000
2,56,2000,node,0.000280538000000,0.000072055000000
2,57,2000,core,0.000076925000000,0.000030898000000
2,57,2000,node,0.000285066000000,0.000073248000000
2,58,2000,core,0.000078257000000,0.000028884000000
2,58,2000,node,0.000291047000000,0.000074440000000
2,59,2000,core,0.000079099000000,0.000029095000000
2,59,2000,node,0.000294433000000,0.000074260000000
2,60,2000,core,0.000079990000000,0.000030036000000
2,60,2000,node,0.000293933000000,0.000076143000000
2,61,2000,core,0.000083357000000,0.000031880000000
2,61,2000,node,0.000296838000000,0.000076003000000
2,62,2000,core,0.000084870000000,0.000032061000000
2,62,2000,node,0.000303771000000,0.000076884000000
2,63,2000,core,0.000085160000000,0.000030117000000
2,63,2000,node,0.000306917000000,0.000079409000000
2,64,2000,core,0.000077465000000,0.000027622000000
2,64,2000,node,0.000313450000000,0.000078107000000
2,65,2000,core,0.000083748000000,0.000033323000000
2,65,2000,node,0.000337004000000,0.000088246000000
2,66,2000,core,0.000085260000000,0.000033814000000
2,66,2000,node,0.000328117000000,0.000082845000000
2,67,2000,core,0.000086112000000,0.000033573000000
2,67,2000,node,0.000347143000000,0.000090349000000
2,68,2000,core,0.000086873000000,0.000031990000000
2,68,2000,node,0.000341732000000,0.000086002000000
2,69,2000,core,0.000091181000000,0.000035737000000
2,69,2000,node,0.000360608000000,0.000098786000000
2,70,2000,core,0.000091773000000,0.000036389000000
2,70,2000,node,0.000357062000000,0.000093225000000
2,71,2000,core,0.000092113000000,0.000035777000000
2,71,2000,node,0.000370286000000,0.000106280000000
2,72,2000,core,0.000092985000000,0.000036088000000
2,72,2000,node,0.000371869000000,0.000103084000000
2,73,2000,core,0.000096632000000,0.000039554000000
2,73,2000,node,0.000385464000000,0.000111420000000
2,74,2000,core,0.000097684000000,0.000037430000000
2,74,2000,node,0.000383972000000,0.000101040000000
2,75,2000,core,0.000097814000000,0.000037120000000
2,75,2000,node,0.000394441000000,0.000116348000000
2,76,2000,core,0.000098125000000,0.000037240000000
2,76,2000,node,0.000394592000000,0.000107813000000
2,77,2000,core,0.000102523000000,0.000040696000000
2,77,2000,node,0.000407436000000,0.000116439000000
2,78,2000,core,0.000103224000000,0.000040907000000
2,78,2000,node,0.000406394000000,0.000112942000000
2,79,2000,core,0.000103655000000,0.000037861000000
2,79,2000,node,0.000408828000000,0.000121899000000
2,80,2000,core,0.000104186000000,0.000038112000000
2,80,2000,node,0.000417004000000,0.000116849000000
2,81,2000,core,0.000107923000000,0.000041698000000
2,81,2000,node,0.000426682000000,0.000125706000000
2,82,2000,core,0.000109065000000,0.000042019000000
2,82,2000,node,0.000429397000000,0.000119245000000
2,83,2000,core,0.000109486000000,0.000041328000000
2,83,2000,node,0.000440799000000,0.000131146000000
2,84,2000,core,0.000109937000000,0.000038512000000
2,84,2000,node,0.000442131000000,0.000119665000000
2,85,2000,core,0.000114005000000,0.000042200000000
2,85,2000,node,0.000455787000000,0.000131808000000
2,86,2000,core,0.000115006000000,0.000042189000000
2,86,2000,node,0.000457220000000,0.000126138000000
2,87,2000,core,0.000114846000000,0.000041929000000
2,87,2000,node,0.000466176000000,0.000130605000000
2,88,2000,core,0.000115256000000,0.000042360000000
2,88,2000,node,0.000469082000000,0.000129814000000
2,89,2000,core,0.000119565000000,0.000045836000000
2,89,2000,node,0.000481385000000,0.000138159000000
2,90,2000,core,0.000120336000000,0.000043291000000
2,90,2000,node,0.000483108000000,0.000131397000000
2,91,2000,core,0.000120997000000,0.000043632000000
2,91,2000,node,0.000493207000000,0.000146796000000
2,92,2000,core,0.000121639000000,0.000043682000000
2,92,2000,node,0.000491974000000,0.000131708000000
2,93,2000,core,0.000125175000000,0.000047168000000
2,93,2000,node,0.000503035000000,0.000148469000000
2,94,2000,core,0.000126809000000,0.000047309000000
2,94,2000,node,0.000504348000000,0.000136386000000
2,95,2000,core,0.000126448000000,0.000043752000000
2,95,2000,node,0.000506432000000,0.000147056000000
2,96,2000,core,0.000126839000000,0.000044414000000
2,96,2000,node,0.000515218000000,0.000137449000000
2,97,2000,core,0.000131277000000,0.000047689000000
2,97,2000,node,0.000522762000000,0.000151174000000
2,98,2000,core,0.000132028000000,0.000048020000000
2,98,2000,node,0.000528814000000,0.000137459000000
2,99,2000,core,0.000132990000000,0.000047961000000
2,99,2000,node,0.000536228000000,0.000151074000000
2,100,2000,core,0.000133571000000,0.000045976000000
2,100,2000,node,0.000542219000000,0.000139041000000
2,101,2000,core,0.000137037000000,0.000048891000000
2,101,2000,node,0.000548922000000,0.000160191000000
2,102,2000,core,0.000137829000000,0.000048992000000
2,102,2000,node,0.000557508000000,0.000148379000000
2,103,2000,core,0.000138471000000,0.000048792000000
2,103,2000,node,0.000560263000000,0.000157977000000
2,104,2000,core,0.000139132000000,0.000048982000000
