Algorithm,MPI_Processes,Data_Size,Allocation,Latency,Latency_default
5,2,2000,core,0.000000762000000,0.000000811000000
5,2,2000,node,0.000006843000000,0.000006602000000
5,3,2000,core,0.000001523000000,0.000001573000000
5,3,2000,node,0.000007945000000,0.000007744000000
5,4,2000,core,0.000001563000000,0.000001603000000
5,4,2000,node,0.000009738000000,0.000010219000000
5,5,2000,core,0.000004258000000,0.000004207000000
5,5,2000,node,0.000013666000000,0.000010710000000
5,6,2000,core,0.000004979000000,0.000005080000000
5,6,2000,node,0.000012683000000,0.000012924000000
5,7,2000,core,0.000006222000000,0.000006152000000
5,7,2000,node,0.000013075000000,0.000013245000000
5,8,2000,core,0.000007333000000,0.000007314000000
5,8,2000,node,0.000013205000000,0.000013986000000
5,9,2000,core,0.000008846000000,0.000009207000000
5,9,2000,node,0.000017001000000,0.000016230000000
5,10,2000,core,0.000009618000000,0.000010119000000
5,10,2000,node,0.000020769000000,0.000020338000000
5,11,2000,core,0.000011100000000,0.000011472000000
5,11,2000,node,0.000020929000000,0.000019527000000
5,12,2000,core,0.000011963000000,0.000012113000000
5,12,2000,node,0.000020608000000,0.000020679000000
5,13,2000,core,0.000012574000000,0.000012663000000
5,13,2000,node,0.000020759000000,0.000021390000000
5,14,2000,core,0.000013746000000,0.000013685000000
5,14,2000,node,0.000020438000000,0.000023394000000
5,15,2000,core,0.000014959000000,0.000015148000000
5,15,2000,node,0.000020538000000,0.000023454000000
5,16,2000,core,0.000014948000000,0.000015038000000
5,16,2000,node,0.000019216000000,0.000021350000000
5,17,2000,core,0.000016551000000,0.000016130000000
5,17,2000,node,0.000021801000000,0.000022222000000
5,18,2000,core,0.000016862000000,0.000016481000000
5,18,2000,node,0.000023273000000,0.000025128000000
5,19,2000,core,0.000017112000000,0.000017543000000
5,19,2000,node,0.000022863000000,0.000024837000000
5,20,2000,core,0.000017482000000,0.000017934000000
5,20,2000,node,0.000024255000000,0.000024967000000
5,21,2000,core,0.000017873000000,0.000018315000000
5,21,2000,node,0.000026129000000,0.000024746000000
5,22,2000,core,0.000019176000000,0.000018965000000
5,22,2000,node,0.000026079000000,0.000027231000000
5,23,2000,core,0.000020999000000,0.000020388000000
5,23,2000,node,0.000025869000000,0.000026830000000
5,24,2000,core,0.000021270000000,0.000021059000000
5,24,2000,node,0.000026119000000,0.000027211000000
5,25,2000,core,0.000021590000000,0.000021030000000
5,25,2000,node,0.000025678000000,0.000027141000000
5,26,2000,core,0.000022051000000,0.000021390000000
5,26,2000,node,0.000025739000000,0.000027091000000
5,27,2000,core,0.000022322000000,0.000021921000000
5,27,2000,node,0.000025658000000,0.000027241000000
5,28,2000,core,0.000022512000000,0.000022292000000
5,28,2000,node,0.000025618000000,0.000027311000000
5,29,2000,core,0.000022863000000,0.000022802000000
5,29,2000,node,0.000025928000000,0.000027602000000
5,30,2000,core,0.000024015000000,0.000023784000000
5,30,2000,node,0.000025729000000,0.000028644000000
5,31,2000,core,0.000024837000000,0.000024956000000
5,31,2000,node,0.000025708000000,0.000029124000000
5,32,2000,core,0.000024346000000,0.000024396000000
5,32,2000,node,0.000025798000000,0.000027231000000
5,33,2000,core,0.000025518000000,0.000025568000000
5,33,2000,node,0.000026891000000,0.000027852000000
5,34,2000,core,0.000026039000000,0.000026149000000
5,34,2000,node,0.000028373000000,0.000028895000000
5,35,2000,core,0.000026209000000,0.000025999000000
5,35,2000,node,0.000028113000000,0.000029555000000
5,36,2000,core,0.000026951000000,0.000026760000000
5,36,2000,node,0.000027912000000,0.000028082000000
5,37,2000,core,0.000026940000000,0.000026630000000
5,37,2000,node,0.000028253000000,0.000028944000000
5,38,2000,core,0.000027452000000,0.000027091000000
5,38,2000,node,0.000029305000000,0.000030267000000
5,39,2000,core,0.000027712000000,0.000028423000000
5,39,2000,node,0.000029406000000,0.000031038000000
5,40,2000,core,0.000027943000000,0.000028824000000
5,40,2000,node,0.000029185000000,0.000028754000000
5,41,2000,core,0.000028623000000,0.000029175000000
5,41,2000,node,0.000030477000000,0.000031509000000
5,42,2000,core,0.000028914000000,0.000029606000000
5,42,2000,node,0.000032841000000,0.000031569000000
5,43,2000,core,0.000029936000000,0.000030107000000
5,43,2000,node,0.000033313000000,0.000031930000000
5,44,2000,core,0.000030007000000,0.000030217000000
5,44,2000,node,0.000033243000000,0.000031770000000
5,45,2000,core,0.000031549000000,0.000031039000000
5,45,2000,node,0.000033403000000,0.000032741000000
5,46,2000,core,0.000032341000000,0.000031499000000
5,46,2000,node,0.000033603000000,0.000032641000000
5,47,2000,core,0.000034064000000,0.000033102000000
5,47,2000,node,0.000033082000000,0.000034995000000
5,48,2000,core,0.000033993000000,0.000033313000000
5,48,2000,node,0.000033403000000,0.000034164000000
5,49,2000,core,0.000034595000000,0.000033513000000
5,49,2000,node,0.000033233000000,0.000031760000000
5,50,2000,core,0.000034875000000,0.000033833000000
5,50,2000,node,0.000032702000000,0.000032631000000
5,51,2000,core,0.000035426000000,0.000034565000000
5,51,2000,node,0.000032751000000,0.000030858000000
5,52,2000,core,0.000036148000000,0.000035246000000
5,52,2000,node,0.000033232000000,0.000035175000000
5,53,2000,core,0.000036418000000,0.000035096000000
5,53,2000,node,0.000033333000000,0.000035757000000
5,54,2000,core,0.000036469000000,0.000035427000000
5,54,2000,node,0.000032961000000,0.000034164000000
5,55,2000,core,0.000038192000000,0.000042229000000
5,55,2000,node,0.000033794000000,0.000034385000000
5,56,2000,core,0.000043331000000,0.000042409000000
5,56,2000,node,0.000033803000000,0.000035847000000
5,57,2000,core,0.000043842000000,0.000042059000000
5,57,2000,node,0.000033673000000,0.000036629000000
5,58,2000,core,0.000044203000000,0.000043431000000
5,58,2000,node,0.000033193000000,0.000036659000000
5,59,2000,core,0.000044683000000,0.000043792000000
5,59,2000,node,0.000033793000000,0.000037471000000
5,60,2000,core,0.000045115000000,0.000044834000000
5,60,2000,node,0.000035446000000,0.000033022000000
5,61,2000,core,0.000045806000000,0.000045165000000
5,61,2000,node,0.000036148000000,0.000036469000000
5,62,2000,core,0.000046267000000,0.000046146000000
5,62,2000,node,0.000035607000000,0.000034525000000
5,63,2000,core,0.000047089000000,0.000047209000000
5,63,2000,node,0.000036328000000,0.000037851000000
5,64,2000,core,0.000046007000000,0.000046307000000
5,64,2000,node,0.000038292000000,0.000034835000000
5,65,2000,core,0.000047118000000,0.000047228000000
5,65,2000,node,0.000048301000000,0.000046657000000
5,66,2000,core,0.000048611000000,0.000048711000000
5,66,2000,node,0.000041067000000,0.000039053000000
5,67,2000,core,0.000049242000000,0.000048872000000
5,67,2000,node,0.000050425000000,0.000047859000000
5,68,2000,core,0.000050465000000,0.000050194000000
5,68,2000,node,0.000042670000000,0.000038903000000
5,69,2000,core,0.000051176000000,0.000050946000000
5,69,2000,node,0.000050735000000,0.000049272000000
5,70,2000,core,0.000052048000000,0.000051757000000
5,70,2000,node,0.000043382000000,0.000037260000000
5,71,2000,core,0.000052188000000,0.000051867000000
5,71,2000,node,0.000051446000000,0.000049592000000
5,72,2000,core,0.000053300000000,0.000052979000000
5,72,2000,node,0.000044904000000,0.000041147000000
5,73,2000,core,0.000054161000000,0.000053962000000
5,73,2000,node,0.000053199000000,0.000049644000000
5,74,2000,core,0.000054943000000,0.000054712000000
5,74,2000,node,0.000046667000000,0.000041989000000
5,75,2000,core,0.000055213000000,0.000055053000000
5,75,2000,node,0.000055194000000,0.000051536000000
5,76,2000,core,0.000055915000000,0.000055744000000
5,76,2000,node,0.000046928000000,0.000041177000000
5,77,2000,core,0.000056736000000,0.000056536000000
5,77,2000,node,0.000055393000000,0.000052177000000
5,78,2000,core,0.000057278000000,0.000057077000000
5,78,2000,node,0.000047679000000,0.000040176000000
5,79,2000,core,0.000057658000000,0.000058880000000
5,79,2000,node,0.000056877000000,0.000050124000000
5,80,2000,core,0.000058690000000,0.000059341000000
5,80,2000,node,0.000047970000000,0.000043151000000
5,81,2000,core,0.000059903000000,0.000060423000000
5,81,2000,node,0.000057758000000,0.000055314000000
5,82,2000,core,0.000061055000000,0.000061485000000
5,82,2000,node,0.000050705000000,0.000040957000000
5,83,2000,core,0.000061686000000,0.000054492000000
5,83,2000,node,0.000060113000000,0.000055183000000
5,84,2000,core,0.000055254000000,0.000055023000000
5,84,2000,node,0.000052008000000,0.000043141000000
5,85,2000,core,0.000055605000000,0.000055364000000
5,85,2000,node,0.000063149000000,0.000056817000000
5,86,2000,core,0.000056547000000,0.000056776000000
5,86,2000,node,0.000054081000000,0.000043031000000
5,87,2000,core,0.000057748000000,0.000058189000000
5,87,2000,node,0.000063870000000,0.000055353000000
5,88,2000,core,0.000058960000000,0.000058389000000
5,88,2000,node,0.000054863000000,0.000043922000000
5,89,2000,core,0.000060012000000,0.000058881000000
5,89,2000,node,0.000064781000000,0.000058459000000
5,90,2000,core,0.000061165000000,0.000060354000000
5,90,2000,node,0.000055755000000,0.000045846000000
5,91,2000,core,0.000061245000000,0.000060944000000
5,91,2000,node,0.000065463000000,0.000056146000000
5,92,2000,core,0.000062056000000,0.000061806000000
5,92,2000,node,0.000056325000000,0.000047809000000
5,93,2000,core,0.000062918000000,0.000062448000000
5,93,2000,node,0.000064891000000,0.000056085000000
5,94,2000,core,0.000063819000000,0.000063589000000
5,94,2000,node,0.000056486000000,0.000045274000000
5,95,2000,core,0.000064981000000,0.000064521000000
5,95,2000,node,0.000066294000000,0.000057388000000
5,96,2000,core,0.000065292000000,0.000065182000000
5,96,2000,node,0.000057148000000,0.000046187000000
5,97,2000,core,0.000066255000000,0.000066004000000
5,97,2000,node,0.000066685000000,0.000055534000000
5,98,2000,core,0.000067226000000,0.000066795000000
5,98,2000,node,0.000059351000000,0.000050154000000
5,99,2000,core,0.000067686000000,0.000067286000000
5,99,2000,node,0.000067968000000,0.000057568000000
5,100,2000,core,0.000068669000000,0.000068288000000
5,100,2000,node,0.000060894000000,0.000050896000000
5,101,2000,core,0.000069250000000,0.000068638000000
5,101,2000,node,0.000068939000000,0.000058750000000
5,102,2000,core,0.000070292000000,0.000069110000000
5,102,2000,node,0.000061475000000,0.000050484000000
5,103,2000,core,0.000070392000000,0.000068999000000
5,103,2000,node,0.000071024000000,0.000057127000000
5,104,2000,core,0.000071093000000,0.000069881000000
5,104,2000,node,0.000063259000000,0.000047860000000
5,105,2000,core,0.000071915000000,0.000070582000000
5,105,2000,node,0.000073267000000,0.000062107000000
5,106,2000,core,0.000072757000000,0.000071374000000
5,106,2000,node,0.000063409000000,0.000049543000000
5,107,2000,core,0.000073238000000,0.000071865000000
5,107,2000,node,0.000072586000000,0.000064782000000
5,108,2000,core,0.000073588000000,0.000072556000000
5,108,2000,node,0.000062478000000,0.000049974000000
5,109,2000,core,0.000074620000000,0.000073578000000
5,109,2000,node,0.000070202000000,0.000063399000000
5,110,2000,core,0.000074680000000,0.000073999000000
5,110,2000,node,0.000063298000000,0.000050584000000
5,111,2000,core,0.000075632000000,0.000075512000000
5,111,2000,node,0.000071204000000,0.000062037000000
5,112,2000,core,0.000076153000000,0.000075962000000
5,112,2000,node,0.000063649000000,0.000050164000000
5,113,2000,core,0.000077425000000,0.000076713000000
5,113,2000,node,0.000072175000000,0.000060714000000
5,114,2000,core,0.000078256000000,0.000077645000000
5,114,2000,node,0.000066915000000,0.000049292000000
5,115,2000,core,0.000078968000000,0.000078137000000
5,115,2000,node,0.000075461000000,0.000063990000000
5,116,2000,core,0.000079770000000,0.000079138000000
5,116,2000,node,0.000066355000000,0.000053230000000
5,117,2000,core,0.000081032000000,0.000079860000000
5,117,2000,node,0.000074360000000,0.000068338000000
5,118,2000,core,0.000080922000000,0.000080611000000
5,118,2000,node,0.000069019000000,0.000053670000000
5,119,2000,core,0.000080772000000,0.000080752000000
5,119,2000,node,0.000075662000000,0.000061235000000
5,120,2000,core,0.000082104000000,0.000081913000000
5,120,2000,node,0.000069691000000,0.000052709000000
5,121,2000,core,0.000082745000000,0.000082364000000
5,121,2000,node,0.000075862000000,0.000066084000000
5,122,2000,core,0.000083958000000,0.000083517000000
5,122,2000,node,0.000070933000000,0.000052519000000
5,123,2000,core,0.000083948000000,0.000084168000000
5,123,2000,node,0.000078978000000,0.000061646000000
5,124,2000,core,0.000085400000000,0.000085741000000
5,124,2000,node,0.000071895000000,0.000053350000000
5,125,2000,core,0.000086362000000,0.000085972000000
5,125,2000,node,0.000077897000000,0.000068248000000
5,126,2000,core,0.000087254000000,0.000087373000000
5,126,2000,node,0.000074640000000,0.000054362000000
5,127,2000,core,0.000087194000000,0.000087484000000
5,127,2000,node,0.000079218000000,0.000067587000000
5,128,2000,core,0.000088196000000,0.000088646000000
5,128,2000,node,0.000073608000000,0.000056205000000
5,129,2000,core,0.000088466000000,0.000088756000000
5,129,2000,node,0.000093095000000,0.000073137000000
5,130,2000,core,0.000089568000000,0.000090269000000
5,130,2000,node,0.000076974000000,0.000055725000000
5,131,2000,core,0.000088256000000,0.000088306000000
5,131,2000,node,0.000092013000000,0.000075822000000
5,132,2000,core,0.000089558000000,0.000090871000000
5,132,2000,node,0.000075752000000,0.000056887000000
5,133,2000,core,0.000089327000000,0.000090530000000
5,133,2000,node,0.000093746000000,0.000082605000000
5,134,2000,core,0.000089388000000,0.000090340000000
5,134,2000,node,0.000078187000000,0.000054222000000
5,135,2000,core,0.000088636000000,0.000088236000000
5,135,2000,node,0.000094607000000,0.000074920000000
5,136,2000,core,0.000090830000000,0.000090399000000
5,136,2000,node,0.000078067000000,0.000058359000000
5,137,2000,core,0.000090851000000,0.000091552000000
5,137,2000,node,0.000097203000000,0.000075291000000
5,138,2000,core,0.000090650000000,0.000091362000000
5,138,2000,node,0.000080631000000,0.000056747000000
5,139,2000,core,0.000090199000000,0.000091281000000
5,139,2000,node,0.000098275000000,0.000078317000000
5,140,2000,core,0.000090720000000,0.000091582000000
5,140,2000,node,0.000079640000000,0.000059782000000
5,141,2000,core,0.000090400000000,0.000091521000000
5,141,2000,node,0.000098003000000,0.000085100000000
5,142,2000,core,0.000090620000000,0.000092022000000
5,142,2000,node,0.000082705000000,0.000057778000000
5,143,2000,core,0.000089849000000,0.000092734000000
5,143,2000,node,0.000098555000000,0.000079980000000
5,144,2000,core,0.000091812000000,0.000093476000000
5,144,2000,node,0.000079980000000,0.000057638000000
5,145,2000,core,0.000092123000000,0.000093335000000
5,145,2000,node,0.000100629000000,0.000082976000000
5,146,2000,core,0.000092413000000,0.000095349000000
5,146,2000,node,0.000085390000000,0.000061585000000
5,147,2000,core,0.000091581000000,0.000094066000000
5,147,2000,node,0.000100449000000,0.000088356000000
5,148,2000,core,0.000092223000000,0.000095830000000
5,148,2000,node,0.000083707000000,0.000058721000000
5,149,2000,core,0.000092684000000,0.000097282000000
5,149,2000,node,0.000103254000000,0.000091151000000
5,150,2000,core,0.000092945000000,0.000098805000000
5,150,2000,node,0.000083637000000,0.000065573000000
5,151,2000,core,0.000093044000000,0.000093956000000
5,151,2000,node,0.000103894000000,0.000086763000000
5,152,2000,core,0.000093175000000,0.000094116000000
5,152,2000,node,0.000085440000000,0.000060383000000
5,153,2000,core,0.000093025000000,0.000094146000000
5,153,2000,node,0.000105809000000,0.000091842000000
5,154,2000,core,0.000093525000000,0.000095609000000
5,154,2000,node,0.000087525000000,0.000065542000000
5,155,2000,core,0.000091792000000,0.000096050000000
5,155,2000,node,0.000108494000000,0.000088626000000
5,156,2000,core,0.000092083000000,0.000096862000000
5,156,2000,node,0.000086833000000,0.000062588000000
5,157,2000,core,0.000093445000000,0.000096942000000
5,157,2000,node,0.000106730000000,0.000089477000000
5,158,2000,core,0.000093946000000,0.000098144000000
5,158,2000,node,0.000089057000000,0.000064220000000
5,159,2000,core,0.000097012000000,0.000100208000000
5,159,2000,node,0.000107732000000,0.000083286000000
5,160,2000,core,0.000099416000000,0.000102001000000
5,160,2000,node,0.000085720000000,0.000059261000000
5,161,2000,core,0.000100469000000,0.000105548000000
5,161,2000,node,0.000109355000000,0.000090610000000
5,162,2000,core,0.000102733000000,0.000109465000000
5,162,2000,node,0.000089908000000,0.000065412000000
5,163,2000,core,0.000103525000000,0.000110317000000
5,163,2000,node,0.000111319000000,0.000094237000000
5,164,2000,core,0.000104786000000,0.000113142000000
5,164,2000,node,0.000090670000000,0.000064321000000
5,165,2000,core,0.000105478000000,0.000117390000000
5,165,2000,node,0.000111820000000,0.000093916000000
5,166,2000,core,0.000107522000000,0.000120456000000
5,166,2000,node,0.000090800000000,0.000067507000000
5,167,2000,core,0.000107862000000,0.000120456000000
5,167,2000,node,0.000113222000000,0.000093295000000
5,168,2000,core,0.000108163000000,0.000122690000000
5,168,2000,node,0.000089718000000,0.000068418000000
5,169,2000,core,0.000108664000000,0.000124304000000
5,169,2000,node,0.000115587000000,0.000091451000000
5,170,2000,core,0.000109255000000,0.000125745000000
5,170,2000,node,0.000094147000000,0.000070452000000
5,171,2000,core,0.000109886000000,0.000127389000000
5,171,2000,node,0.000118152000000,0.000097493000000
5,172,2000,core,0.000111219000000,0.000128030000000
5,172,2000,node,0.000094938000000,0.000067768000000
5,173,2000,core,0.000111829000000,0.000129843000000
5,173,2000,node,0.000116869000000,0.000103084000000
5,174,2000,core,0.000114745000000,0.000134412000000
5,174,2000,node,0.000096551000000,0.000069480000000
5,175,2000,core,0.000113263000000,0.000135023000000
5,175,2000,node,0.000117510000000,0.000094818000000
5,176,2000,core,0.000110828000000,0.000134262000000
5,176,2000,node,0.000095409000000,0.000067446000000
5,177,2000,core,0.000115747000000,0.000138640000000
5,177,2000,node,0.000120035000000,0.000102813000000
5,178,2000,core,0.000120016000000,0.000141305000000
