Algorithm,MPI_Processes,Data_Size,Allocation,Latency
3,88,2000,node,0.0000553940
3,89,2000,core,0.0000609350
3,89,2000,node,0.0000651830
3,90,2000,core,0.0000618360
3,90,2000,node,0.0000566970
3,91,2000,core,0.0000623170
3,91,2000,node,0.0000652620
3,92,2000,core,0.0000631880
3,92,2000,node,0.0000567360
3,93,2000,core,0.0000641110
3,93,2000,node,0.0000657540
3,94,2000,core,0.0000646820
3,94,2000,node,0.0000568970
3,95,2000,core,0.0000660640
3,95,2000,node,0.0000667460
3,96,2000,core,0.0000665450
3,96,2000,node,0.0000575290
3,97,2000,core,0.0000671360
3,97,2000,node,0.0000670860
3,98,2000,core,0.0000683080
3,98,2000,node,0.0000604330
3,99,2000,core,0.0000689400
3,99,2000,node,0.0000684290
3,100,2000,core,0.0000698710
3,100,2000,node,0.0000604640
3,101,2000,core,0.0000705020
3,101,2000,node,0.0000697610
3,102,2000,core,0.0000714240
3,102,2000,node,0.0000622170
3,103,2000,core,0.0000714940
3,103,2000,node,0.0000717250
3,104,2000,core,0.0000725560
3,104,2000,node,0.0000631690
3,105,2000,core,0.0000732670
3,105,2000,node,0.0000738190
3,106,2000,core,0.0000740690
3,106,2000,node,0.0000636690
3,107,2000,core,0.0000742290
3,107,2000,node,0.0000735190
3,108,2000,core,0.0000753020
3,108,2000,node,0.0000639200
3,109,2000,core,0.0000759930
3,109,2000,node,0.0000702220
3,110,2000,core,0.0000763740
3,110,2000,node,0.0000647620
3,111,2000,core,0.0000772860
3,111,2000,node,0.0000719250
3,112,2000,core,0.0000776650
3,112,2000,node,0.0000640100
3,113,2000,core,0.0000789380
3,113,2000,node,0.0000724860
3,114,2000,core,0.0000794400
3,114,2000,node,0.0000671060
3,115,2000,core,0.0000800000
3,115,2000,node,0.0000763630
3,116,2000,core,0.0000810020
3,116,2000,node,0.0000665450
3,117,2000,core,0.0000818940
3,117,2000,node,0.0000743890
3,118,2000,core,0.0000827260
3,118,2000,node,0.0000682980
3,119,2000,core,0.0000823650
3,119,2000,node,0.0000764030
3,120,2000,core,0.0000836270
3,120,2000,node,0.0000693700
3,121,2000,core,0.0000841390
3,121,2000,node,0.0000765840
3,122,2000,core,0.0000854310
3,122,2000,node,0.0000723560
3,123,2000,core,0.0000856510
3,123,2000,node,0.0000795800
3,124,2000,core,0.0000871740
3,124,2000,node,0.0000722360
3,125,2000,core,0.0000883360
3,125,2000,node,0.0000791690
3,126,2000,core,0.0000887870
3,126,2000,node,0.0000749610
3,127,2000,core,0.0000886370
3,127,2000,node,0.0000800800
3,128,2000,core,0.0000900800
3,128,2000,node,0.0000749910
3,129,2000,core,0.0000898380
3,129,2000,node,0.0000937160
3,130,2000,core,0.0000907700
3,130,2000,node,0.0000786580
3,131,2000,core,0.0000901590
3,131,2000,node,0.0000939870
3,132,2000,core,0.0000917130
3,132,2000,node,0.0000787980
3,133,2000,core,0.0000910720
3,133,2000,node,0.0000940760
3,134,2000,core,0.0000911710
3,134,2000,node,0.0000780060
3,135,2000,core,0.0000905800
3,135,2000,node,0.0000947980
3,136,2000,core,0.0000925230
3,136,2000,node,0.0000784480
3,137,2000,core,0.0000924430
3,137,2000,node,0.0000974440
3,138,2000,core,0.0000925440
3,138,2000,node,0.0000820750
3,139,2000,core,0.0000919630
3,139,2000,node,0.0000987560
3,140,2000,core,0.0000921630
3,140,2000,node,0.0000806720
3,141,2000,core,0.0000920330
3,141,2000,node,0.0000974030
3,142,2000,core,0.0000923940
3,142,2000,node,0.0000832660
3,143,2000,core,0.0000922230
3,143,2000,node,0.0000991460
3,144,2000,core,0.0000940970
3,144,2000,node,0.0000804610
3,145,2000,core,0.0000934160
3,145,2000,node,0.0001014300
3,146,2000,core,0.0000938470
3,146,2000,node,0.0000868630
3,147,2000,core,0.0000943270
3,147,2000,node,0.0001018010
3,148,2000,core,0.0000941170
3,148,2000,node,0.0000839280
3,149,2000,core,0.0000947280
3,149,2000,node,0.0001047370
3,150,2000,core,0.0000949680
3,150,2000,node,0.0000862620
3,151,2000,core,0.0000944380
