Algorithm,MPI_Processes,Allocation,Latency
5,134,socket,9.53
5,134,node,8.20
5,135,socket,8.01
5,135,node,10.66
5,136,socket,11.89
5,136,node,8.32
5,137,socket,45.47
5,137,node,11.15
5,138,socket,42.61
5,138,node,8.83
5,139,socket,57.48
5,139,node,10.73
5,140,socket,34.82
5,140,node,7.85
5,141,socket,57.28
5,141,node,11.21
5,142,socket,10.17
5,142,node,8.44
5,143,socket,28.39
5,143,node,11.92
5,144,socket,23.37
5,144,node,8.37
5,145,socket,38.40
5,145,node,12.78
5,146,socket,33.81
5,146,node,8.76
5,147,socket,64.24
5,147,node,12.20
5,148,socket,11.37
5,148,node,8.47
5,149,socket,41.54
5,149,node,12.99
5,150,socket,13.40
5,150,node,8.43
5,151,socket,13.17
5,151,node,13.24
5,152,socket,8.97
5,152,node,9.01
5,153,socket,47.02
5,153,node,14.04
5,154,socket,45.34
5,154,node,9.45
5,155,socket,29.32
5,155,node,13.17
5,156,socket,36.81
5,156,node,8.57
5,157,socket,44.55
5,157,node,13.70
5,158,socket,39.05
5,158,node,8.92
5,159,socket,7.59
5,159,node,14.01
5,160,socket,41.29
5,160,node,8.97
5,161,socket,40.34
5,161,node,14.40
5,162,socket,48.07
5,162,node,8.70
5,163,socket,65.99
5,163,node,13.69
5,164,socket,13.43
5,164,node,8.43
5,165,socket,46.78
5,165,node,14.24
5,166,socket,50.58
5,166,node,9.03
5,167,socket,65.15
5,167,node,14.56
5,168,socket,42.80
5,168,node,9.27
5,169,socket,80.39
5,169,node,14.88
5,170,socket,50.67
5,170,node,9.70
5,171,socket,42.15
5,171,node,14.63
5,172,socket,48.64
5,172,node,8.92
5,173,socket,42.45
5,173,node,15.45
5,174,socket,32.57
5,174,node,8.85
5,175,socket,36.56
5,175,node,15.46
5,176,socket,59.26
5,176,node,8.59
5,177,socket,36.02
5,177,node,16.21
5,178,socket,37.05
5,178,node,8.85
5,179,socket,60.99
5,179,node,15.75
5,180,socket,49.04
5,180,node,8.60
5,181,socket,43.80
5,181,node,16.17
5,182,socket,47.39
5,182,node,9.12
5,183,socket,11.48
5,183,node,16.32
5,184,socket,38.86
5,184,node,9.31
5,185,socket,54.34
5,185,node,16.73
5,186,socket,37.04
5,186,node,9.39
5,187,socket,53.97
5,187,node,15.92
5,188,socket,31.42
5,188,node,9.12
5,189,socket,10.01
5,189,node,16.41
5,190,socket,43.59
