Algorithm,MPI_Processes,Allocation,Latency
1,134,socket,25.63
1,134,node,31.49
1,135,socket,40.74
1,135,node,31.01
1,136,socket,33.94
1,136,node,32.24
1,137,socket,34.57
1,137,node,31.39
1,138,socket,43.97
1,138,node,33.06
1,139,socket,43.50
1,139,node,32.91
1,140,socket,45.92
1,140,node,33.28
1,141,socket,48.67
1,141,node,33.09
1,142,socket,30.44
1,142,node,33.27
1,143,socket,33.09
1,143,node,33.59
1,144,socket,44.40
1,144,node,32.39
1,145,socket,37.85
1,145,node,33.79
1,146,socket,34.64
1,146,node,33.47
1,147,socket,41.05
1,147,node,34.60
1,148,socket,39.66
1,148,node,34.58
1,149,socket,34.88
1,149,node,35.54
1,150,socket,35.53
1,150,node,35.38
1,151,socket,43.83
1,151,node,35.85
1,152,socket,41.69
1,152,node,36.32
1,153,socket,43.64
1,153,node,37.13
1,154,socket,33.98
1,154,node,36.99
1,155,socket,44.53
1,155,node,37.74
1,156,socket,36.06
1,156,node,36.77
1,157,socket,32.11
1,157,node,37.96
1,158,socket,53.07
1,158,node,36.48
1,159,socket,44.40
1,159,node,37.80
1,160,socket,35.08
1,160,node,36.26
1,161,socket,43.75
1,161,node,38.88
1,162,socket,30.72
1,162,node,37.32
1,163,socket,37.25
1,163,node,39.03
1,164,socket,34.90
1,164,node,38.37
1,165,socket,47.21
1,165,node,39.55
1,166,socket,45.96
1,166,node,39.58
1,167,socket,30.28
1,167,node,40.31
1,168,socket,47.19
1,168,node,40.08
1,169,socket,36.03
1,169,node,41.43
1,170,socket,38.04
1,170,node,40.84
1,171,socket,56.14
1,171,node,41.94
1,172,socket,58.58
1,172,node,40.28
1,173,socket,39.48
1,173,node,42.42
1,174,socket,45.70
1,174,node,40.47
1,175,socket,50.88
1,175,node,42.19
1,176,socket,51.34
1,176,node,40.56
1,177,socket,47.32
1,177,node,43.38
1,178,socket,49.79
1,178,node,41.40
1,179,socket,40.84
1,179,node,43.90
1,180,socket,28.96
1,180,node,42.76
1,181,socket,43.72
1,181,node,44.42
1,182,socket,48.89
1,182,node,43.23
1,183,socket,55.26
1,183,node,44.76
1,184,socket,40.03
1,184,node,44.59
1,185,socket,52.41
1,185,node,46.41
1,186,socket,42.33
1,186,node,44.99
1,187,socket,54.59
1,187,node,46.82
1,188,socket,45.55
1,188,node,44.22
1,189,socket,42.88
1,189,node,46.95
1,190,socket,46.24
1,190,node,45.48
1,191,socket,45.06
1,191,node,46.07
1,192,socket,51.59
1,192,node,44.15
1,193,socket,74.77
1,193,node,47.61
1,194,socket,47.14
1,194,node,45.24
1,195,socket,52.40
1,195,node,48.02
1,196,socket,44.33
1,196,node,46.02
1,197,socket,43.98
1,197,node,48.60
1,198,socket,46.85
1,198,node,46.87
1,199,socket,52.74
1,199,node,48.90
1,200,socket,51.99
1,200,node,47.92
1,201,socket,46.63
1,201,node,49.99
1,202,socket,48.37
1,202,node,49.12
1,203,socket,46.43
1,203,node,50.11
1,204,socket,42.96
1,204,node,48.44
1,205,socket,47.45
1,205,node,50.69
1,206,socket,39.10
1,206,node,48.76
1,207,socket,57.16
1,207,node,50.22
1,208,socket,64.53
1,208,node,48.17
1,209,socket,48.91
1,209,node,51.64
1,210,socket,51.27
1,210,node,49.67
1,211,socket,53.15
1,211,node,52.03
1,212,socket,47.04
1,212,node,50.79
1,213,socket,57.31
1,213,node,53.05
1,214,socket,50.05
1,214,node,51.19
1,215,socket,54.60
1,215,node,53.05
1,216,socket,58.55
1,216,node,51.73
1,217,socket,56.21
1,217,node,54.08
1,218,socket,66.62
1,218,node,52.31
1,219,socket,53.39
1,219,node,54.65
1,220,socket,70.63
1,220,node,52.10
1,221,socket,46.91
1,221,node,54.93
1,222,socket,58.33
1,222,node,53.48
1,223,socket,74.09
1,223,node,54.35
1,224,socket,67.53
1,224,node,52.97
1,225,socket,64.24
1,225,node,55.40
1,226,socket,51.15
1,226,node,53.76
1,227,socket,62.63
1,227,node,56.05
1,228,socket,48.72
1,228,node,54.25
1,229,socket,54.37
1,229,node,56.81
1,230,socket,68.52
1,230,node,54.94
1,231,socket,46.97
1,231,node,56.98
1,232,socket,49.37
1,232,node,55.07
1,233,socket,63.89
1,233,node,58.26
1,234,socket,74.49
1,234,node,55.92
1,235,socket,57.82
1,235,node,58.29
1,236,socket,50.17
1,236,node,56.16
1,237,socket,53.07
1,237,node,58.52
1,238,socket,44.23
1,238,node,56.28
1,239,socket,72.82
1,239,node,58.67
1,240,socket,49.43
1,240,node,56.72
1,241,socket,48.97
1,241,node,59.63
1,242,socket,79.45
1,242,node,57.38
1,243,socket,58.51
1,243,node,60.58
1,244,socket,81.18
1,244,node,58.09
1,245,socket,57.75
1,245,node,60.32
1,246,socket,57.90
1,246,node,58.46
1,247,socket,61.82
1,247,node,61.08
1,248,socket,53.96
1,248,node,58.98
1,249,socket,81.47
1,249,node,62.32
1,250,socket,57.55
1,250,node,60.14
1,251,socket,64.30
1,251,node,62.69
1,252,socket,44.31
1,252,node,59.59
1,253,socket,87.69
1,253,node,63.32
1,254,socket,67.42
1,254,node,60.43
1,255,socket,79.54
1,255,node,57.37
1,256,socket,45.50
1,256,node,52.97
