Algorithm,MPI_Processes,Allocation,Latency
3,134,socket,148.33
3,134,node,171.39
3,135,socket,188.13
3,135,node,176.57
3,136,socket,160.18
3,136,node,175.90
3,137,socket,145.93
3,137,node,180.73
3,138,socket,179.90
3,138,node,178.53
3,139,socket,161.34
3,139,node,186.21
3,140,socket,159.84
3,140,node,182.89
3,141,socket,224.33
3,141,node,188.89
3,142,socket,168.27
3,142,node,185.80
3,143,socket,180.64
3,143,node,193.32
3,144,socket,185.90
3,144,node,188.76
3,145,socket,152.63
3,145,node,196.81
3,146,socket,208.99
3,146,node,190.66
3,147,socket,171.32
3,147,node,200.04
3,148,socket,243.67
3,148,node,194.70
3,149,socket,168.35
3,149,node,203.85
3,150,socket,199.10
3,150,node,197.84
3,151,socket,158.23
3,151,node,208.84
3,152,socket,184.37
3,152,node,201.49
3,153,socket,238.30
3,153,node,213.73
3,154,socket,156.11
3,154,node,204.73
3,155,socket,173.65
3,155,node,217.58
3,156,socket,193.98
3,156,node,208.82
3,157,socket,224.71
3,157,node,220.01
3,158,socket,191.77
3,158,node,212.00
3,159,socket,161.52
3,159,node,222.89
3,160,socket,175.27
3,160,node,214.89
3,161,socket,189.35
3,161,node,226.35
3,162,socket,195.22
3,162,node,217.55
3,163,socket,184.48
3,163,node,230.05
3,164,socket,179.88
3,164,node,220.13
3,165,socket,193.42
3,165,node,232.39
3,166,socket,173.12
3,166,node,223.07
3,167,socket,187.69
3,167,node,236.25
3,168,socket,121.11
3,168,node,229.17
3,169,socket,152.99
3,169,node,241.45
3,170,socket,207.97
3,170,node,231.58
3,171,socket,161.91
3,171,node,241.77
3,172,socket,266.09
3,172,node,234.27
3,173,socket,175.32
3,173,node,246.12
3,174,socket,191.34
3,174,node,237.95
3,175,socket,189.20
3,175,node,249.56
3,176,socket,167.37
3,176,node,241.41
3,177,socket,195.86
3,177,node,251.57
3,178,socket,225.74
3,178,node,243.18
3,179,socket,216.18
3,179,node,255.08
3,180,socket,204.12
3,180,node,246.86
3,181,socket,237.36
3,181,node,258.61
3,182,socket,208.76
3,182,node,250.74
3,183,socket,204.87
3,183,node,262.62
3,184,socket,178.50
3,184,node,255.07
3,185,socket,180.33
3,185,node,265.82
3,186,socket,225.65
3,186,node,256.72
3,187,socket,154.07
3,187,node,268.33
3,188,socket,169.71
3,188,node,262.67
3,189,socket,213.27
3,189,node,271.23
3,190,socket,185.64
3,190,node,264.61
3,191,socket,218.24
3,191,node,274.04
3,192,socket,230.58
3,192,node,268.33
3,193,socket,196.09
3,193,node,277.63
3,194,socket,175.20
3,194,node,271.45
3,195,socket,179.36
3,195,node,280.56
3,196,socket,177.38
3,196,node,273.98
3,197,socket,222.31
3,197,node,283.94
3,198,socket,184.38
3,198,node,276.98
3,199,socket,178.38
3,199,node,287.56
3,200,socket,194.72
3,200,node,283.67
3,201,socket,199.97
3,201,node,291.65
3,202,socket,181.74
3,202,node,286.11
3,203,socket,216.09
3,203,node,294.78
3,204,socket,196.95
3,204,node,285.94
3,205,socket,212.04
3,205,node,296.99
3,206,socket,205.41
3,206,node,291.37
3,207,socket,240.46
3,207,node,300.83
3,208,socket,197.23
3,208,node,293.93
3,209,socket,127.12
3,209,node,303.94
3,210,socket,208.14
3,210,node,298.99
3,211,socket,202.93
3,211,node,307.23
3,212,socket,258.22
3,212,node,300.76
3,213,socket,197.61
3,213,node,310.09
3,214,socket,238.16
3,214,node,303.72
3,215,socket,183.72
3,215,node,312.62
3,216,socket,209.25
3,216,node,308.33
3,217,socket,204.50
3,217,node,314.84
3,218,socket,234.92
3,218,node,309.85
3,219,socket,167.41
3,219,node,321.72
3,220,socket,226.40
3,220,node,315.56
3,221,socket,209.56
3,221,node,321.29
3,222,socket,203.09
3,222,node,318.57
3,223,socket,156.05
3,223,node,325.47
3,224,socket,248.87
3,224,node,322.86
3,225,socket,220.76
3,225,node,329.33
3,226,socket,207.99
3,226,node,326.10
3,227,socket,206.55
3,227,node,330.96
3,228,socket,247.33
3,228,node,327.17
3,229,socket,233.42
3,229,node,334.61
3,230,socket,205.72
3,230,node,334.56
3,231,socket,195.42
3,231,node,341.13
3,232,socket,216.12
3,232,node,336.32
3,233,socket,218.24
3,233,node,341.60
3,234,socket,197.07
3,234,node,337.75
3,235,socket,158.85
3,235,node,345.09
3,236,socket,243.25
3,236,node,343.92
3,237,socket,236.23
3,237,node,347.89
3,238,socket,235.70
3,238,node,346.42
3,239,socket,207.92
3,239,node,353.33
3,240,socket,240.84
3,240,node,349.04
3,241,socket,234.08
3,241,node,355.99
3,242,socket,212.48
3,242,node,353.62
3,243,socket,224.18
3,243,node,358.92
3,244,socket,213.87
3,244,node,356.92
3,245,socket,171.23
3,245,node,363.09
3,246,socket,199.11
3,246,node,359.50
3,247,socket,223.65
3,247,node,366.26
3,248,socket,219.35
3,248,node,364.87
3,249,socket,161.16
3,249,node,369.93
3,250,socket,234.94
3,250,node,368.71
3,251,socket,269.59
3,251,node,374.56
3,252,socket,291.69
3,252,node,372.80
3,253,socket,236.97
3,253,node,379.39
3,254,socket,197.70
3,254,node,376.88
3,255,socket,195.71
3,255,node,382.59
3,256,socket,217.82
3,256,node,379.55
