Algorithm,MPI_Processes,Allocation,Latency
5,134,socket,7.47
5,134,node,7.82
5,135,socket,13.33
5,135,node,7.01
5,136,socket,32.91
5,136,node,8.69
5,137,socket,1.89
5,137,node,7.01
5,138,socket,24.77
5,138,node,7.53
5,139,socket,18.90
5,139,node,6.96
5,140,socket,14.51
5,140,node,8.11
5,141,socket,31.75
5,141,node,6.93
5,142,socket,10.57
5,142,node,7.44
5,143,socket,12.98
5,143,node,7.15
5,144,socket,4.73
5,144,node,8.81
5,145,socket,18.76
5,145,node,7.09
5,146,socket,40.10
5,146,node,8.76
5,147,socket,27.57
5,147,node,6.95
5,148,socket,36.43
5,148,node,8.54
5,149,socket,16.87
5,149,node,7.05
5,150,socket,24.77
5,150,node,8.95
5,151,socket,20.72
5,151,node,7.44
5,152,socket,33.41
5,152,node,8.93
5,153,socket,21.95
5,153,node,7.59
5,154,socket,29.56
5,154,node,7.93
5,155,socket,16.11
5,155,node,7.52
5,156,socket,14.47
5,156,node,9.30
5,157,socket,18.79
5,157,node,7.33
5,158,socket,27.80
5,158,node,8.10
5,159,socket,4.67
5,159,node,7.45
5,160,socket,40.60
5,160,node,10.10
5,161,socket,25.56
5,161,node,7.60
5,162,socket,31.33
5,162,node,9.41
5,163,socket,25.06
5,163,node,7.75
5,164,socket,33.51
5,164,node,9.93
5,165,socket,25.76
5,165,node,7.71
5,166,socket,26.89
5,166,node,9.20
5,167,socket,26.72
5,167,node,7.93
5,168,socket,22.83
5,168,node,10.27
5,169,socket,22.47
5,169,node,8.24
5,170,socket,40.70
5,170,node,8.51
5,171,socket,24.89
5,171,node,8.34
5,172,socket,29.46
5,172,node,9.37
5,173,socket,6.60
5,173,node,8.49
5,174,socket,31.73
5,174,node,8.40
5,175,socket,31.00
5,175,node,8.40
5,176,socket,34.38
5,176,node,10.95
5,177,socket,36.87
5,177,node,8.57
5,178,socket,38.12
5,178,node,10.25
5,179,socket,15.72
5,179,node,8.67
5,180,socket,19.56
5,180,node,11.17
5,181,socket,24.76
5,181,node,8.64
5,182,socket,13.07
5,182,node,10.30
5,183,socket,24.41
5,183,node,9.06
5,184,socket,36.22
5,184,node,11.26
5,185,socket,20.82
5,185,node,9.26
5,186,socket,46.48
5,186,node,10.21
5,187,socket,29.33
5,187,node,9.26
5,188,socket,14.23
5,188,node,9.52
5,189,socket,32.82
5,189,node,9.61
5,190,socket,28.90
5,190,node,9.90
5,191,socket,26.91
5,191,node,9.50
5,192,socket,39.07
5,192,node,12.27
5,193,socket,28.43
5,193,node,9.67
5,194,socket,3.60
5,194,node,10.53
5,195,socket,31.76
5,195,node,9.89
5,196,socket,32.26
5,196,node,11.57
5,197,socket,4.33
5,197,node,9.61
5,198,socket,22.25
5,198,node,11.64
5,199,socket,23.63
5,199,node,10.20
5,200,socket,17.35
5,200,node,12.33
5,201,socket,5.26
5,201,node,10.26
5,202,socket,13.62
5,202,node,10.88
5,203,socket,23.07
5,203,node,10.60
5,204,socket,45.11
5,204,node,11.24
5,205,socket,36.36
5,205,node,10.54
5,206,socket,11.53
5,206,node,10.21
5,207,socket,28.23
5,207,node,10.68
5,208,socket,47.27
5,208,node,12.98
5,209,socket,28.43
5,209,node,10.85
5,210,socket,7.55
5,210,node,13.01
5,211,socket,36.18
5,211,node,10.92
5,212,socket,23.62
5,212,node,12.95
5,213,socket,30.08
5,213,node,11.01
5,214,socket,39.75
5,214,node,12.92
5,215,socket,29.99
5,215,node,11.40
5,216,socket,25.05
5,216,node,13.20
5,217,socket,21.48
5,217,node,11.45
5,218,socket,38.59
5,218,node,11.26
5,219,socket,31.30
5,219,node,11.68
5,220,socket,41.25
5,220,node,11.64
5,221,socket,29.46
5,221,node,11.22
5,222,socket,32.81
5,222,node,11.10
5,223,socket,20.73
5,223,node,12.03
5,224,socket,30.77
5,224,node,13.46
5,225,socket,26.23
5,225,node,11.77
5,226,socket,43.50
5,226,node,13.66
5,227,socket,28.76
5,227,node,12.37
5,228,socket,38.05
5,228,node,13.16
5,229,socket,56.30
5,229,node,12.03
5,230,socket,31.69
5,230,node,13.08
5,231,socket,15.90
5,231,node,12.34
5,232,socket,33.75
5,232,node,13.42
5,233,socket,31.07
5,233,node,12.35
5,234,socket,35.23
5,234,node,12.42
5,235,socket,14.62
5,235,node,13.20
5,236,socket,35.05
5,236,node,12.80
5,237,socket,35.67
5,237,node,12.32
5,238,socket,37.37
5,238,node,11.29
5,239,socket,26.21
5,239,node,13.18
5,240,socket,29.27
5,240,node,13.50
5,241,socket,26.52
5,241,node,12.73
5,242,socket,36.79
5,242,node,14.22
5,243,socket,33.76
5,243,node,13.10
5,244,socket,25.48
5,244,node,14.71
5,245,socket,28.77
5,245,node,12.84
5,246,socket,24.68
5,246,node,13.84
5,247,socket,32.02
5,247,node,13.31
5,248,socket,25.61
5,248,node,14.09
5,249,socket,33.94
5,249,node,12.89
5,250,socket,31.72
5,250,node,12.51
5,251,socket,34.35
5,251,node,13.52
5,252,socket,26.59
5,252,node,13.21
5,253,socket,27.55
5,253,node,14.30
5,254,socket,13.40
5,254,node,12.23
5,255,socket,45.79
5,255,node,14.37
5,256,socket,6.58
5,256,node,16.57
