Algorithm,MPI_Processes,Allocation,Latency
1,134,socket,8.96
1,134,node,2.42
1,135,socket,9.63
1,135,node,1.33
1,136,socket,8.05
1,136,node,2.47
1,137,socket,9.04
1,137,node,1.39
1,138,socket,8.97
1,138,node,2.44
1,139,socket,8.30
1,139,node,1.42
1,140,socket,8.85
1,140,node,2.53
1,141,socket,9.00
1,141,node,1.28
1,142,socket,7.16
1,142,node,2.58
1,143,socket,7.99
1,143,node,1.26
1,144,socket,7.13
1,144,node,2.48
1,145,socket,7.19
1,145,node,1.14
1,146,socket,6.89
1,146,node,2.41
1,147,socket,7.15
1,147,node,1.16
1,148,socket,6.18
1,148,node,2.49
1,149,socket,5.85
1,149,node,1.18
1,150,socket,5.64
1,150,node,2.53
1,151,socket,6.41
1,151,node,1.19
1,152,socket,6.64
1,152,node,2.59
1,153,socket,6.06
1,153,node,1.10
1,154,socket,6.10
1,154,node,2.77
1,155,socket,5.85
1,155,node,1.18
1,156,socket,5.83
1,156,node,2.75
1,157,socket,6.40
1,157,node,1.12
1,158,socket,5.15
1,158,node,2.73
1,159,socket,5.69
1,159,node,1.09
1,160,socket,4.93
1,160,node,2.70
1,161,socket,5.92
1,161,node,1.08
1,162,socket,4.39
1,162,node,2.48
1,163,socket,4.32
1,163,node,1.08
1,164,socket,5.03
1,164,node,2.71
1,165,socket,5.17
1,165,node,1.22
1,166,socket,4.76
1,166,node,2.68
1,167,socket,5.18
1,167,node,1.21
1,168,socket,4.82
1,168,node,2.83
1,169,socket,4.83
1,169,node,1.33
1,170,socket,4.94
1,170,node,2.84
1,171,socket,4.30
1,171,node,1.27
1,172,socket,3.64
1,172,node,2.99
1,173,socket,4.46
1,173,node,1.22
1,174,socket,3.88
1,174,node,2.94
1,175,socket,3.95
1,175,node,1.06
1,176,socket,3.67
1,176,node,2.91
1,177,socket,3.66
1,177,node,1.07
1,178,socket,4.01
1,178,node,2.80
1,179,socket,4.53
1,179,node,1.04
1,180,socket,3.52
1,180,node,2.79
1,181,socket,3.76
1,181,node,1.05
1,182,socket,4.17
1,182,node,2.99
1,183,socket,3.43
1,183,node,0.96
1,184,socket,2.88
1,184,node,3.12
1,185,socket,3.25
1,185,node,1.07
1,186,socket,3.46
1,186,node,3.32
1,187,socket,2.76
1,187,node,1.01
1,188,socket,3.36
1,188,node,3.05
1,189,socket,2.76
1,189,node,1.03
1,190,socket,3.07
1,190,node,3.35
1,191,socket,2.60
1,191,node,0.96
1,192,socket,3.15
1,192,node,3.08
1,193,socket,3.45
1,193,node,1.04
1,194,socket,2.98
1,194,node,2.85
1,195,socket,2.61
1,195,node,1.07
1,196,socket,2.97
1,196,node,3.22
1,197,socket,3.12
1,197,node,1.14
1,198,socket,2.96
1,198,node,3.15
1,199,socket,3.23
1,199,node,1.16
1,200,socket,2.57
1,200,node,3.36
1,201,socket,2.44
1,201,node,1.19
1,202,socket,2.56
1,202,node,3.39
1,203,socket,2.55
1,203,node,1.26
1,204,socket,3.40
1,204,node,3.41
1,205,socket,4.36
1,205,node,1.42
1,206,socket,3.44
1,206,node,3.39
1,207,socket,3.18
1,207,node,1.43
1,208,socket,4.17
1,208,node,3.52
1,209,socket,2.85
1,209,node,1.35
1,210,socket,3.81
1,210,node,3.23
1,211,socket,3.23
1,211,node,1.49
1,212,socket,2.88
1,212,node,3.45
1,213,socket,4.19
1,213,node,1.70
1,214,socket,3.21
1,214,node,3.27
1,215,socket,3.01
1,215,node,1.58
1,216,socket,3.17
1,216,node,3.52
1,217,socket,3.08
1,217,node,1.86
1,218,socket,3.42
1,218,node,3.67
1,219,socket,2.51
1,219,node,1.91
1,220,socket,3.02
1,220,node,3.50
1,221,socket,2.63
1,221,node,1.95
1,222,socket,2.71
1,222,node,3.30
1,223,socket,2.54
1,223,node,1.92
1,224,socket,2.37
1,224,node,3.63
1,225,socket,2.85
1,225,node,2.22
1,226,socket,3.27
1,226,node,3.41
1,227,socket,2.92
1,227,node,2.29
1,228,socket,2.31
1,228,node,3.61
1,229,socket,2.69
1,229,node,2.40
1,230,socket,2.45
1,230,node,3.49
1,231,socket,2.50
1,231,node,2.45
1,232,socket,2.78
1,232,node,3.69
1,233,socket,2.22
1,233,node,2.83
1,234,socket,2.76
1,234,node,3.97
1,235,socket,2.72
1,235,node,2.67
1,236,socket,2.50
1,236,node,3.99
1,237,socket,2.82
1,237,node,2.71
1,238,socket,2.80
1,238,node,4.10
1,239,socket,2.60
1,239,node,2.81
1,240,socket,2.99
1,240,node,3.84
1,241,socket,2.79
1,241,node,3.06
1,242,socket,2.85
1,242,node,3.54
1,243,socket,2.36
1,243,node,3.02
1,244,socket,2.98
1,244,node,3.37
1,245,socket,2.80
1,245,node,3.24
1,246,socket,2.55
1,246,node,3.90
1,247,socket,2.36
1,247,node,3.33
1,248,socket,3.22
1,248,node,4.18
1,249,socket,2.61
1,249,node,3.39
1,250,socket,2.06
1,250,node,4.28
1,251,socket,2.52
1,251,node,3.65
1,252,socket,2.75
1,252,node,4.20
1,253,socket,2.68
1,253,node,3.77
1,254,socket,2.54
1,254,node,4.03
1,255,socket,3.19
1,255,node,3.42
1,256,socket,4.90
1,256,node,4.45
