Algorithm,MPI_Processes,Allocation,Message_Size,Latency
5,64,socket,2,1.56
5,64,socket,4,1.54
5,64,socket,8,1.52
5,64,socket,16,1.64
5,64,socket,32,1.70
5,64,socket,64,1.63
5,64,socket,128,2.29
5,64,socket,256,2.18
5,64,socket,512,2.31
5,64,socket,1024,2.49
5,64,socket,2048,3.75
5,64,socket,4096,6.01
5,64,socket,8192,11.84
5,64,socket,16384,24.23
5,64,socket,32768,48.33
5,64,socket,65536,95.22
5,64,socket,131072,189.27
5,64,socket,262144,161.24
5,64,socket,524288,375.68
5,64,socket,1048576,750.60
5,64,node,1,4.75
5,64,node,2,4.63
5,64,node,4,4.61
5,64,node,8,4.61
5,64,node,16,5.17
5,64,node,32,4.79
5,64,node,64,5.93
5,64,node,128,6.24
5,64,node,256,6.57
5,64,node,512,6.87
5,64,node,1024,7.73
5,64,node,2048,7.93
5,64,node,4096,10.41
5,64,node,8192,23.43
5,64,node,16384,53.64
5,64,node,32768,112.28
5,64,node,65536,228.49
5,64,node,131072,454.07
5,64,node,262144,781.61
5,64,node,524288,1559.79
5,64,node,1048576,3250.14
5,128,socket,1,1.55
5,128,socket,2,1.51
5,128,socket,4,24.14
5,128,socket,8,1.54
5,128,socket,16,9.28
5,128,socket,32,2.02
5,128,socket,64,1.70
5,128,socket,128,2.15
5,128,socket,256,2.29
5,128,socket,512,2.62
5,128,socket,1024,3.18
5,128,socket,2048,5.02
5,128,socket,4096,11.10
5,128,socket,8192,23.03
5,128,socket,16384,47.07
5,128,socket,32768,95.85
5,128,socket,65536,193.09
5,128,socket,131072,379.49
5,128,socket,262144,4164.58
5,128,socket,524288,666.06
5,128,socket,1048576,1589.43
5,128,node,1,7.57
5,128,node,2,7.79
5,128,node,4,7.74
5,128,node,8,8.13
5,128,node,16,7.58
5,128,node,32,7.69
5,128,node,64,8.91
5,128,node,128,9.19
5,128,node,256,9.27
5,128,node,512,10.54
5,128,node,1024,11.86
5,128,node,2048,16.05
5,128,node,4096,22.22
5,128,node,8192,41.50
5,128,node,16384,91.68
5,128,node,32768,184.47
5,128,node,65536,379.86
5,128,node,131072,820.26
5,128,node,262144,1463.91
5,128,node,524288,3040.07
5,128,node,1048576,7326.42
