Algorithm,MPI_Processes,Allocation,Message_Size,Latency
1,64,socket,2,9.56
1,64,socket,4,9.53
1,64,socket,8,9.65
1,64,socket,16,9.55
1,64,socket,32,10.15
1,64,socket,64,10.07
1,64,socket,128,22.62
1,64,socket,256,23.23
1,64,socket,512,23.35
1,64,socket,1024,25.83
1,64,socket,2048,40.25
1,64,socket,4096,51.89
1,64,socket,8192,89.24
1,64,socket,16384,118.58
1,64,socket,32768,231.20
1,64,socket,65536,512.68
1,64,socket,131072,1065.48
1,64,socket,262144,2081.61
1,64,socket,524288,4346.47
1,64,socket,1048576,8198.81
1,64,node,1,12.98
1,64,node,2,12.97
1,64,node,4,13.28
1,64,node,8,12.99
1,64,node,16,12.97
1,64,node,32,13.88
1,64,node,64,13.82
1,64,node,128,18.10
1,64,node,256,19.90
1,64,node,512,20.84
1,64,node,1024,22.32
1,64,node,2048,29.61
1,64,node,4096,37.89
1,64,node,8192,55.15
1,64,node,16384,41.91
1,64,node,32768,100.00
1,64,node,65536,239.01
1,64,node,131072,479.83
1,64,node,262144,812.24
1,64,node,524288,1651.07
1,64,node,1048576,3841.28
1,128,socket,1,18.18
1,128,socket,2,19.80
1,128,socket,4,32.31
1,128,socket,8,24.47
1,128,socket,16,35.44
1,128,socket,32,27.49
1,128,socket,64,26.86
1,128,socket,128,103.40
1,128,socket,256,48.39
1,128,socket,512,94.99
1,128,socket,1024,59.56
1,128,socket,2048,80.14
1,128,socket,4096,109.75
1,128,socket,8192,185.73
1,128,socket,16384,246.15
1,128,socket,32768,467.19
1,128,socket,65536,1037.93
1,128,socket,131072,2148.11
1,128,socket,262144,4818.39
1,128,socket,524288,8588.40
1,128,socket,1048576,16075.94
1,128,node,1,27.81
1,128,node,2,28.25
1,128,node,4,27.91
1,128,node,8,27.92
1,128,node,16,27.94
1,128,node,32,31.06
1,128,node,64,30.62
1,128,node,128,39.82
1,128,node,256,42.49
1,128,node,512,42.95
1,128,node,1024,46.43
1,128,node,2048,64.22
1,128,node,4096,85.66
1,128,node,8192,134.05
1,128,node,16384,115.61
1,128,node,32768,203.92
1,128,node,65536,437.24
1,128,node,131072,694.88
1,128,node,262144,1482.39
1,128,node,524288,3316.05
1,128,node,1048576,7130.96
