Algorithm,MPI_Processes,Allocation,Message_Size,Latency
1,64,socket,2,5.18
1,64,socket,4,5.05
1,64,socket,8,5.08
1,64,socket,16,4.84
1,64,socket,32,4.78
1,64,socket,64,4.90
1,64,socket,128,5.29
1,64,socket,256,5.53
1,64,socket,512,6.03
1,64,socket,1024,6.27
1,64,socket,2048,9.01
1,64,socket,4096,16.29
1,64,socket,8192,33.79
1,64,socket,16384,104.10
1,64,socket,32768,220.06
1,64,socket,65536,453.31
1,64,socket,131072,843.76
1,64,socket,262144,1870.85
1,64,socket,524288,2821.91
1,64,socket,1048576,5760.14
1,64,node,1,1.53
1,64,node,2,2.27
1,64,node,4,2.35
1,64,node,8,2.22
1,64,node,16,2.21
1,64,node,32,2.28
1,64,node,64,2.39
1,64,node,128,2.47
1,64,node,256,2.64
1,64,node,512,2.82
1,64,node,1024,3.05
1,64,node,2048,2.86
1,64,node,4096,3.77
1,64,node,8192,7.66
1,64,node,16384,15.88
1,64,node,32768,34.17
1,64,node,65536,74.85
1,64,node,131072,149.28
1,64,node,262144,1338.18
1,64,node,524288,2581.91
1,64,node,1048576,6039.69
1,128,socket,1,9.06
1,128,socket,2,8.90
1,128,socket,4,8.82
1,128,socket,8,8.70
1,128,socket,16,8.35
1,128,socket,32,8.23
1,128,socket,64,8.38
1,128,socket,128,9.39
1,128,socket,256,9.89
1,128,socket,512,9.88
1,128,socket,1024,10.55
1,128,socket,2048,13.27
1,128,socket,4096,23.36
1,128,socket,8192,45.81
1,128,socket,16384,109.44
1,128,socket,32768,213.71
1,128,socket,65536,448.90
1,128,socket,131072,888.37
1,128,socket,262144,6936.62
1,128,socket,524288,15150.99
1,128,socket,1048576,12291.66
1,128,node,1,2.39
1,128,node,2,2.46
1,128,node,4,2.49
1,128,node,8,2.48
1,128,node,16,2.47
1,128,node,32,2.42
1,128,node,64,2.46
1,128,node,128,2.71
1,128,node,256,2.90
1,128,node,512,3.04
1,128,node,1024,3.29
1,128,node,2048,3.30
1,128,node,4096,6.15
1,128,node,8192,12.86
1,128,node,16384,29.89
1,128,node,32768,68.17
1,128,node,65536,141.88
1,128,node,131072,259.57
1,128,node,262144,2811.92
1,128,node,524288,5311.93
1,128,node,1048576,10107.74
