Algorithm,MPI_Processes,Data_Size,Latency,Latency_default
5,128,256,0.000014056000000,0.000013926000000
1,32,512,0.000025898000000,0.000025828000000
2,32,512,0.000022432000000,0.000009157000000
5,32,512,0.000009948000000,0.000010089000000
1,64,512,0.000059561000000,0.000059241000000
2,64,512,0.000044714000000,0.000015459000000
5,64,512,0.000013976000000,0.000014156000000
1,128,512,0.000158437000000,0.000157576000000
2,128,512,0.000098986000000,0.000031429000000
5,128,512,0.000020338000000,0.000020809000000
1,32,1024,0.000034574000000,0.000034264000000
2,32,1024,0.000027842000000,0.000011612000000
5,32,1024,0.000014066000000,0.000014016000000
1,64,1024,0.000078627000000,0.000078257000000
2,64,1024,0.000056566000000,0.000019406000000
5,64,1024,0.000024776000000,0.000024716000000
1,128,1024,0.000207689000000,0.000206457000000
2,128,1024,0.000128220000000,0.000041899000000
5,128,1024,0.000047339000000,0.000046297000000
1,32,2048,0.000047188000000,0.000047008000000
2,32,2048,0.000037861000000,0.000016831000000
5,32,2048,0.000024737000000,0.000024837000000
1,64,2048,0.000123812000000,0.000123671000000
2,64,2048,0.000078216000000,0.000027912000000
5,64,2048,0.000046747000000,0.000047059000000
1,128,2048,0.000334547000000,0.000334207000000
2,128,2048,0.000174988000000,0.000057498000000
5,128,2048,0.000088355000000,0.000088747000000
1,32,4096,0.000088346000000,0.000043241000000
2,32,4096,0.000061315000000,0.000041688000000
5,32,4096,0.000044323000000,0.000045826000000
1,64,4096,0.000204643000000,0.000101550000000
2,64,4096,0.000125736000000,0.000082004000000
5,64,4096,0.000073618000000,0.000084238000000
1,128,4096,0.000621205000000,0.000289643000000
2,128,4096,0.000300003000000,0.000164648000000
5,128,4096,0.000162164000000,0.000130275000000
1,32,8192,0.000164518000000,0.000074850000000
2,32,8192,0.000099757000000,0.000064591000000
5,32,8192,0.000085110000000,0.000075872000000
1,64,8192,0.000387988000000,0.000172062000000
2,64,8192,0.000227637000000,0.000123461000000
5,64,8192,0.000141746000000,0.000151213000000
1,128,8192,0.001213495000000,0.000552515000001
2,128,8192,0.000499436000000,0.000246572000000
5,128,8192,0.000334246000000,0.000242004000000
1,32,16384,0.000312726000000,0.000137037000000
2,32,16384,0.000176521000000,0.000101280000000
5,32,16384,0.000162965000000,0.000142607000000
1,64,16384,0.000739616000000,0.000318467000000
2,64,16384,0.000392757000000,0.000200926000000
5,64,16384,0.000281518000000,0.000281769000000
1,128,16384,0.002098804000000,0.001060919000000
2,128,16384,0.000926217000000,0.000414136000000
5,128,16384,0.000662742000000,0.000469911000000
1,32,32768,0.000610475000000,0.000257974000000
2,32,32768,0.000327174000000,0.000195517000000
5,32,32768,0.000320601000000,0.000275727000000
1,64,32768,0.001429920000000,0.000592620999999
2,64,32768,0.000740728000000,0.000371677000000
5,64,32768,0.000560450000000,0.000550631999999
1,128,32768,0.004313736000000,0.002106027000000
2,128,32768,0.001740843000000,0.000762018000000
5,128,32768,0.001341745000000,0.000922899000001
1,32,65536,0.000728134000000,0.000565310000000
2,32,65536,0.001134817000001,0.000391915000000
5,32,65536,0.000586470000000,0.000548488000000
1,64,65536,0.001565976000000,0.001130278000000
2,64,65536,0.002433182000000,0.000722264000000
5,64,65536,0.001106404000000,0.001092248000000
1,128,65536,0.003775747000000,0.004025456000001
2,128,65536,0.004961689999998,0.001464865999999
5,128,65536,0.001757344000000,0.001686612000000
1,32,131072,0.001878231000000,0.000986980000000
2,32,131072,0.002270576000000,0.000738103000000
5,32,131072,0.001149925000000,0.001071328000000
1,64,131072,0.004007752000000,0.001898056999998
2,64,131072,0.004848628000001,0.001461368999998
5,64,131072,0.001868783000000,0.001858232999998
1,128,131072,0.009610445000000,0.007377028000001
2,128,131072,0.009825266999998,0.002870580999996
5,128,131072,0.003411525000000,0.003210888999998
1,32,262144,0.004394878000001,0.001841641999999
2,32,262144,0.004544969000001,0.001481717999997
5,32,262144,0.002227145000000,0.002053820000000
1,64,262144,0.009359709999998,0.003969671000007
2,64,262144,0.009568768000001,0.002851864999997
5,64,262144,0.003563591000001,0.003632368999998
1,128,262144,0.021848356999996,0.013736710000003
2,128,262144,0.019873847000000,0.005724743000002
5,128,262144,0.006894744000000,0.006256798000003
1,32,524288,0.009476605000000,0.003665632000001
2,32,524288,0.008425254000002,0.002872874999994
5,32,524288,0.004418633000000,0.004124503000000
1,64,524288,0.020391205999999,0.008027959000003
2,64,524288,0.018226076999998,0.005172387000002
5,64,524288,0.007003319000003,0.007209574999997
1,128,524288,0.048855522999986,0.025429756999984
2,128,524288,0.039362965999999,0.011171361999999
5,128,524288,0.012377642999999,0.012130840000012
1,32,1048576,0.021808701999994,0.006858606999998
2,32,1048576,0.017248554000005,0.006102519999999
5,32,1048576,0.009219191000000,0.008389756999996
1,64,1048576,0.047605939999983,0.014106921000007
2,64,1048576,0.036579304999997,0.010497031000000
5,64,1048576,0.014116234999996,0.014537847000000
1,128,1048576,0.103322327000001,0.044560319999960
2,128,1048576,0.078291525000054,0.022050082000021
5,128,1048576,0.024566380000000,0.024306601999996

