Algorithm,MPI_Processes,Data_Size,Allocation,Latency,Latency_default
1,2,8,core,0.000000301000000,0.000000320000000
1,2,8,node,0.000003777000000,0.000003777000000
1,3,8,core,0.000000742000000,0.000000771000000
1,3,8,node,0.000004749000000,0.000004769000000
1,4,8,core,0.000000531000000,0.000000551000000
1,4,8,node,0.000005070000000,0.000005039000000
1,5,8,core,0.000001152000000,0.000001112000000
1,5,8,node,0.000005170000000,0.000005160000000
1,6,8,core,0.000001403000000,0.000001323000000
1,6,8,node,0.000006131000000,0.000006132000000
1,7,8,core,0.000001673000000,0.000001633000000
1,7,8,node,0.000006252000000,0.000006212000000
1,8,8,core,0.000002575000000,0.000002154000000
1,8,8,node,0.000006782000000,0.000006723000000
1,9,8,core,0.000003386000000,0.000003206000000
1,9,8,node,0.000008576000000,0.000008416000000
1,10,8,core,0.000003737000000,0.000003516000000
1,10,8,node,0.000009237000000,0.000009217000000
1,11,8,core,0.000004128000000,0.000003757000000
1,11,8,node,0.000009137000000,0.000009117000000
1,12,8,core,0.000004679000000,0.000004008000000
1,12,8,node,0.000010260000000,0.000010089000000
1,13,8,core,0.000004989000000,0.000004108000000
1,13,8,node,0.000010440000000,0.000010360000000
1,14,8,core,0.000005781000000,0.000004608000000
1,14,8,node,0.000010981000000,0.000010901000000
1,15,8,core,0.000006012000000,0.000004829000000
1,15,8,node,0.000010910000000,0.000010820000000
1,16,8,core,0.000005210000000,0.000004138000000
1,16,8,node,0.000010400000000,0.000010310000000
1,17,8,core,0.000006171000000,0.000004909000000
1,17,8,node,0.000010791000000,0.000011141000000
1,18,8,core,0.000006372000000,0.000005190000000
1,18,8,node,0.000011061000000,0.000011442000000
1,19,8,core,0.000006782000000,0.000005380000000
1,19,8,node,0.000011682000000,0.000011482000000
1,20,8,core,0.000007264000000,0.000005741000000
1,20,8,node,0.000011923000000,0.000012233000000
1,21,8,core,0.000007644000000,0.000005911000000
1,21,8,node,0.000011662000000,0.000012233000000
1,22,8,core,0.000008156000000,0.000006272000000
1,22,8,node,0.000012603000000,0.000012754000000
1,23,8,core,0.000008556000000,0.000006442000000
1,23,8,node,0.000012864000000,0.000012584000000
1,24,8,core,0.000009107000000,0.000006843000000
1,24,8,node,0.000013665000000,0.000013846000000
1,25,8,core,0.000009227000000,0.000006973000000
1,25,8,node,0.000013415000000,0.000013265000000
1,26,8,core,0.000009738000000,0.000007644000000
1,26,8,node,0.000013285000000,0.000013615000000
1,27,8,core,0.000010119000000,0.000007374000000
1,27,8,node,0.000013505000000,0.000013265000000
1,28,8,core,0.000010610000000,0.000007714000000
1,28,8,node,0.000014276000000,0.000014507000000
1,29,8,core,0.000010970000000,0.000007955000000
1,29,8,node,0.000014177000000,0.000014107000000
1,30,8,core,0.000011482000000,0.000008536000000
1,30,8,node,0.000015108000000,0.000014948000000
1,31,8,core,0.000011672000000,0.000008435000000
1,31,8,node,0.000015339000000,0.000015078000000
1,32,8,core,0.000010650000000,0.000007554000000
1,32,8,node,0.000015509000000,0.000014898000000
1,33,8,core,0.000011672000000,0.000008386000000
1,33,8,node,0.000015509000000,0.000015669000000
1,34,8,core,0.000011762000000,0.000008486000000
1,34,8,node,0.000016030000000,0.000015369000000
1,35,8,core,0.000012113000000,0.000008816000000
1,35,8,node,0.000016682000000,0.000016130000000
1,36,8,core,0.000012664000000,0.000008926000000
1,36,8,node,0.000017393000000,0.000016722000000
1,37,8,core,0.000012994000000,0.000009277000000
1,37,8,node,0.000017322000000,0.000016782000000
1,38,8,core,0.000013615000000,0.000009668000000
1,38,8,node,0.000018104000000,0.000017593000000
1,39,8,core,0.000014116000000,0.000010019000000
1,39,8,node,0.000018224000000,0.000017482000000
1,40,8,core,0.000014848000000,0.000010409000000
1,40,8,node,0.000018395000000,0.000017743000000
1,41,8,core,0.000015269000000,0.000010850000000
1,41,8,node,0.000018164000000,0.000017913000000
1,42,8,core,0.000015549000000,0.000011211000000
1,42,8,node,0.000019226000000,0.000018434000000
1,43,8,core,0.000016101000000,0.000011271000000
1,43,8,node,0.000018395000000,0.000017633000000
1,44,8,core,0.000016721000000,0.000011582000000
1,44,8,node,0.000019146000000,0.000018705000000
1,45,8,core,0.000017022000000,0.000012063000000
1,45,8,node,0.000019537000000,0.000019306000000
1,46,8,core,0.000017963000000,0.000012974000000
