Algorithm,MPI_Processes,Data_Size,Latency,Latency_default
2,256,1024,0.001360651000001,0.000314340000001
5,256,1024,0.000089087000000,0.000058600000000
1,32,2048,0.000047559000000,0.000046748000000
2,32,2048,0.000156052000000,0.000042099000000
5,32,2048,0.000026009000000,0.000028443000000
1,64,2048,0.000098053000000,0.000101140000000
2,64,2048,0.000317095000000,0.000079309000000
5,64,2048,0.000039144000000,0.000035747000000
1,128,2048,0.000194464000000,0.000257343000000
2,128,2048,0.000722214000000,0.000170660000000
5,128,2048,0.000073268000000,0.000053220000000
1,256,2048,0.000378320000000,0.000598102000000
2,256,2048,0.001537543000000,0.000360887000001
5,256,2048,0.000130625000000,0.013004484000000
1,32,4096,0.000084278000000,0.000045305000000
2,32,4096,0.000192771000000,0.000056146000000
5,32,4096,0.000036138000000,0.000052839000000
1,64,4096,0.000172614000000,0.000088806000000
2,64,4096,0.000389440000000,0.000106540000000
5,64,4096,0.000066004000000,0.000060153000000
1,128,4096,0.000342562000000,0.000252733000000
2,128,4096,0.000834985000000,0.000222608000001
5,128,4096,0.000127408000000,0.000071704000000
1,256,4096,0.013000772999987,0.000509716000010
2,256,4096,0.001741154000000,0.000463469000000
5,256,4096,0.000249959000000,0.000099507000000
1,32,8192,0.000156363000000,0.000077666000000
2,32,8192,0.000250380000000,0.000074099000000
5,32,8192,0.000056716000000,0.000079369000000
1,64,8192,0.000323597000000,0.000181330000000
2,64,8192,0.000498355000000,0.000143328000000
5,64,8192,0.000139451000000,0.000095519000000
1,128,8192,0.000646832000000,0.000359444000000
2,128,8192,0.001045660000000,0.000291025000000
5,128,8192,0.000231174000000,0.000110166000000
1,256,8192,0.001324642000000,0.000681538000000
2,256,8192,0.002548768000000,0.000709700000002
5,256,8192,0.000506059000000,0.000147557000000
1,32,16384,0.000285846000000,0.000161383000000
2,32,16384,0.000349275000000,0.000107762000000
5,32,16384,0.000100488000000,0.000140583000000
1,64,16384,0.000600986000000,0.000352000000000
2,64,16384,0.000689061000000,0.000218730000000
5,64,16384,0.000222667000000,0.000166953000000
1,128,16384,0.001208545000000,0.000823875000000
2,128,16384,0.001424831000000,0.000526817999999
5,128,16384,0.000465844000000,0.000189515000000
1,256,16384,0.002543919000001,0.001086808000000
2,256,16384,0.002931485000000,0.013909243000001
5,256,16384,0.001012759000000,0.000242024000000
1,32,32768,0.000568455000000,0.000410790000000
2,32,32768,0.000555301000000,0.000198182000000
5,32,32768,0.000205896000000,0.000256100000000
1,64,32768,0.001161166999999,0.000933871000001
2,64,32768,0.001065337000000,0.000432601000000
5,64,32768,0.000418284000000,0.000293871000000
1,128,32768,0.002507721000000,0.000989355000002
2,128,32768,0.002187380000000,0.000947376000001
5,128,32768,0.000896862000000,0.000330990000000
1,256,32768,0.004910015000000,0.002000406999997
2,256,32768,0.004477804000000,0.001848084999999
5,256,32768,0.001891510000000,0.000416871999999
1,32,65536,0.001272025000000,0.000898394000000
2,32,65536,0.000887815000000,0.000484909000001
5,32,65536,0.000405090000000,0.000438051000000
1,64,65536,0.002553768000000,0.001059305999998
2,64,65536,0.001790987000000,0.000917470000001
5,64,65536,0.000930513999999,0.000509856000000
1,128,65536,0.005040590000000,0.001965605000002
2,128,65536,0.003739831999999,0.001730845000001
5,128,65536,0.001740974000000,0.000618851000000
1,256,65536,0.013571448999997,0.003840112999995
2,256,65536,0.007569489000002,0.003167548000000
5,256,65536,0.013109877999995,0.000835946999985
1,32,131072,0.002485449000000,0.001187947000002
2,32,131072,0.001547341000000,0.001033488000000
5,32,131072,0.000759203000000,0.000824826000000
1,64,131072,0.005133524000000,0.002343092000000
2,64,131072,0.003139225000000,0.001977387000000
5,64,131072,0.001656205000000,0.000888334999999
1,128,131072,0.010321331000000,0.004086732000005
2,128,131072,0.006452006000000,0.003647027000000
5,128,131072,0.003264078999999,0.001073642000001
1,256,131072,0.020423857000000,0.013114182000010
2,256,131072,0.013104564999999,0.006292157999994
5,256,131072,0.006492380000001,0.001622271000002
1,32,262144,0.005041971000001,0.002248495000000
2,32,262144,0.002867996000000,0.002256559999999
5,32,262144,0.001440770000000,0.001336685000000
1,64,262144,0.012194817999998,0.004471281999997
2,64,262144,0.005849101000000,0.004338572999998
5,64,262144,0.003214168000000,0.001594561000001
1,128,262144,0.021187491000006,0.008883972999996
2,128,262144,0.011878877000001,0.009012002999995
5,128,262144,0.006032929000002,0.001922344000000
1,256,262144,0.046195850000004,0.017509275999998
2,256,262144,0.024291782999995,0.020735464000012
5,256,262144,0.012205246999997,0.002693369000013
